Differential1,Differential2,Differential3,Local_Timestamp
2173,1688,1850,2024-11-03 21:42:03.964
2159,2210,1972,2024-11-03 21:42:03.967
2519,1795,1881,2024-11-03 21:42:03.969
2365,2091,2240,2024-11-03 21:42:03.970
2160,1760,1759,2024-11-03 21:42:03.971
2294,1840,1937,2024-11-03 21:42:03.972
2638,1665,2700,2024-11-03 21:42:03.972
2623,2155,2371,2024-11-03 21:42:03.973
2160,1681,1919,2024-11-03 21:42:04.138
2329,2045,1906,2024-11-03 21:42:04.139
2493,1868,2259,2024-11-03 21:42:04.141
2778,1826,2045,2024-11-03 21:42:04.144
2103,1902,1895,2024-11-03 21:42:04.146
2385,1922,2109,2024-11-03 21:42:04.147
2504,2077,1901,2024-11-03 21:42:04.148
2688,1963,2014,2024-11-03 21:42:04.149
2377,1777,1936,2024-11-03 21:42:04.151
2155,1807,1909,2024-11-03 21:42:04.152
2468,2336,2485,2024-11-03 21:42:04.258
2616,2282,2072,2024-11-03 21:42:04.318
2179,1779,1920,2024-11-03 21:42:04.319
2379,1989,2014,2024-11-03 21:42:04.320
2399,2004,1920,2024-11-03 21:42:04.321
2397,2104,2176,2024-11-03 21:42:04.323
2234,1648,1819,2024-11-03 21:42:04.324
2339,1840,1699,2024-11-03 21:42:04.325
2495,2332,1988,2024-11-03 21:42:04.325
2649,2098,2230,2024-11-03 21:42:04.327
2234,1873,1902,2024-11-03 21:42:04.438
2020,2024,1978,2024-11-03 21:42:04.443
2672,2310,2468,2024-11-03 21:42:04.445
2749,2177,2240,2024-11-03 21:42:04.498
2624,1752,2106,2024-11-03 21:42:04.499
2161,1730,2005,2024-11-03 21:42:04.501
2567,2109,2671,2024-11-03 21:42:04.503
2331,2451,2422,2024-11-03 21:42:04.504
2293,1763,1954,2024-11-03 21:42:04.504
2384,1946,2124,2024-11-03 21:42:04.505
2493,1950,2101,2024-11-03 21:42:04.617
2633,2490,1965,2024-11-03 21:42:04.619
2313,1867,2051,2024-11-03 21:42:04.620
2140,1810,2048,2024-11-03 21:42:04.622
2235,2317,2393,2024-11-03 21:42:04.623
2447,2321,2638,2024-11-03 21:42:04.624
2375,1828,1977,2024-11-03 21:42:04.678
2251,2064,2001,2024-11-03 21:42:04.738
2640,2181,2343,2024-11-03 21:42:04.740
2598,2056,2383,2024-11-03 21:42:04.741
2434,1880,2261,2024-11-03 21:42:04.745
2073,1839,1911,2024-11-03 21:42:04.798
2500,2048,2332,2024-11-03 21:42:04.800
2650,2144,2178,2024-11-03 21:42:04.801
2339,1693,2192,2024-11-03 21:42:04.803
2169,1885,1936,2024-11-03 21:42:04.804
2603,1663,2573,2024-11-03 21:42:04.805
2676,2240,1976,2024-11-03 21:42:04.805
2366,2138,2238,2024-11-03 21:42:04.857
2395,1810,1987,2024-11-03 21:42:04.860
2463,1950,2038,2024-11-03 21:42:04.861
2569,1886,2329,2024-11-03 21:42:04.978
2176,1815,2063,2024-11-03 21:42:04.979
2228,1895,1834,2024-11-03 21:42:04.980
2503,1742,2357,2024-11-03 21:42:04.981
2749,2363,2155,2024-11-03 21:42:04.982
2403,2151,1868,2024-11-03 21:42:04.983
1949,1891,1899,2024-11-03 21:42:04.985
2743,1875,2332,2024-11-03 21:42:04.987
2512,1880,2719,2024-11-03 21:42:04.988
2380,2005,1957,2024-11-03 21:42:04.989
1983,2256,1851,2024-11-03 21:42:05.159
2516,2211,2335,2024-11-03 21:42:05.160
2527,2467,2669,2024-11-03 21:42:05.161
2480,2152,2087,2024-11-03 21:42:05.163
2467,2017,1999,2024-11-03 21:42:05.166
2449,1991,2049,2024-11-03 21:42:05.167
2605,2233,2437,2024-11-03 21:42:05.168
2762,1866,2531,2024-11-03 21:42:05.168
2273,1888,1917,2024-11-03 21:42:05.170
2602,1992,2100,2024-11-03 21:42:05.170
2704,2185,2674,2024-11-03 21:42:05.337
2406,1872,1907,2024-11-03 21:42:05.339
2181,1723,1898,2024-11-03 21:42:05.340
2701,2001,2575,2024-11-03 21:42:05.341
2560,1977,2250,2024-11-03 21:42:05.342
2540,1869,2250,2024-11-03 21:42:05.344
2509,1840,1793,2024-11-03 21:42:05.345
2355,2013,2156,2024-11-03 21:42:05.345
2560,2140,2388,2024-11-03 21:42:05.346
2871,2090,2284,2024-11-03 21:42:05.347
2527,1802,2071,2024-11-03 21:42:05.347
2489,1959,2147,2024-11-03 21:42:05.461
2650,1888,2435,2024-11-03 21:42:05.462
2917,2003,1922,2024-11-03 21:42:05.517
2151,1647,1849,2024-11-03 21:42:05.519
2527,2064,2135,2024-11-03 21:42:05.520
2688,2010,2381,2024-11-03 21:42:05.521
2769,2051,2210,2024-11-03 21:42:05.522
1985,1821,1811,2024-11-03 21:42:05.523
2320,1811,2010,2024-11-03 21:42:05.524
2352,2490,2585,2024-11-03 21:42:05.525
2530,2189,2353,2024-11-03 21:42:05.640
2238,1815,1975,2024-11-03 21:42:05.644
2560,1968,2073,2024-11-03 21:42:05.645
2447,2135,2558,2024-11-03 21:42:05.646
2885,2120,2282,2024-11-03 21:42:05.698
2142,1712,1978,2024-11-03 21:42:05.699
2390,1873,1883,2024-11-03 21:42:05.701
2479,2380,2560,2024-11-03 21:42:05.701
2844,1941,2295,2024-11-03 21:42:05.702
2211,1823,1868,2024-11-03 21:42:05.703
2250,1626,1979,2024-11-03 21:42:05.817
2469,2168,2090,2024-11-03 21:42:05.819
2899,2111,2267,2024-11-03 21:42:05.820
2210,1841,1941,2024-11-03 21:42:05.822
2401,1939,1860,2024-11-03 21:42:05.823
2630,2159,2038,2024-11-03 21:42:05.823
2788,2578,2156,2024-11-03 21:42:05.824
2352,1757,2025,2024-11-03 21:42:05.878
2192,1783,2097,2024-11-03 21:42:05.880
2653,1722,2629,2024-11-03 21:42:05.881
2912,2014,2129,2024-11-03 21:42:06.000
2283,1809,2078,2024-11-03 21:42:06.006
2243,1939,1990,2024-11-03 21:42:06.009
2528,2092,2290,2024-11-03 21:42:06.012
2778,2369,2385,2024-11-03 21:42:06.015
2111,1739,1852,2024-11-03 21:42:06.017
2301,1907,2055,2024-11-03 21:42:06.019
2476,2337,2067,2024-11-03 21:42:06.021
2799,1790,2381,2024-11-03 21:42:06.022
2304,1713,1911,2024-11-03 21:42:06.057
2206,1762,2032,2024-11-03 21:42:06.058
2542,2198,2300,2024-11-03 21:42:06.179
2687,1905,2538,2024-11-03 21:42:06.180
2181,1968,1923,2024-11-03 21:42:06.182
2206,1804,2094,2024-11-03 21:42:06.183
2656,2125,1897,2024-11-03 21:42:06.184
2639,2268,2029,2024-11-03 21:42:06.186
2284,1859,2044,2024-11-03 21:42:06.187
2554,1799,2109,2024-11-03 21:42:06.188
2511,2059,1862,2024-11-03 21:42:06.237
2657,1967,2137,2024-11-03 21:42:06.238
2514,1887,2064,2024-11-03 21:42:06.359
2170,1852,1911,2024-11-03 21:42:06.362
2454,1831,2050,2024-11-03 21:42:06.364
2670,1631,2482,2024-11-03 21:42:06.366
2101,1746,1830,2024-11-03 21:42:06.368
2318,2001,2002,2024-11-03 21:42:06.369
2681,2505,2652,2024-11-03 21:42:06.370
2569,2020,2737,2024-11-03 21:42:06.371
2445,1934,2165,2024-11-03 21:42:06.373
2466,1889,1911,2024-11-03 21:42:06.374
2505,1736,1991,2024-11-03 21:42:06.479
2679,1556,2406,2024-11-03 21:42:06.537
2290,1447,1979,2024-11-03 21:42:06.538
2293,1956,1900,2024-11-03 21:42:06.539
2621,2215,2584,2024-11-03 21:42:06.541
2656,2548,2362,2024-11-03 21:42:06.542
2309,1935,2039,2024-11-03 21:42:06.543
2355,1742,1987,2024-11-03 21:42:06.544
2653,2126,2042,2024-11-03 21:42:06.545
2702,1970,2086,2024-11-03 21:42:06.546
2342,2241,2094,2024-11-03 21:42:06.657
2127,1857,2135,2024-11-03 21:42:06.659
2561,2402,2467,2024-11-03 21:42:06.660
2704,2113,2872,2024-11-03 21:42:06.661
2327,1907,1951,2024-11-03 21:42:06.717
2299,2323,1888,2024-11-03 21:42:06.719
2672,1855,2480,2024-11-03 21:42:06.720
2592,2169,2291,2024-11-03 21:42:06.722
2287,2053,2146,2024-11-03 21:42:06.723
2133,1771,1754,2024-11-03 21:42:06.724
2497,2089,1839,2024-11-03 21:42:06.726
2617,2135,2473,2024-11-03 21:42:06.838
2410,1903,2187,2024-11-03 21:42:06.898
2224,1760,1920,2024-11-03 21:42:06.901
2686,2337,2369,2024-11-03 21:42:06.905
2501,2203,2315,2024-11-03 21:42:06.908
2173,2042,2070,2024-11-03 21:42:06.909
2261,1858,1861,2024-11-03 21:42:06.911
2222,2220,2229,2024-11-03 21:42:06.912
2704,2019,2335,2024-11-03 21:42:06.914
2737,2043,1925,2024-11-03 21:42:06.915
2202,1911,1971,2024-11-03 21:42:07.017
2674,2577,2525,2024-11-03 21:42:07.019
2636,2054,2528,2024-11-03 21:42:07.021
2977,1809,2295,2024-11-03 21:42:07.022
2153,1764,1923,2024-11-03 21:42:07.023
2511,1827,1989,2024-11-03 21:42:07.026
2691,1777,2625,2024-11-03 21:42:07.028
2719,1985,2251,2024-11-03 21:42:07.030
2151,1825,1835,2024-11-03 21:42:07.078
2441,2064,2192,2024-11-03 21:42:07.139
2668,2158,2552,2024-11-03 21:42:07.197
2133,2281,1957,2024-11-03 21:42:07.198
2183,1775,1783,2024-11-03 21:42:07.199
2331,1797,1874,2024-11-03 21:42:07.200
2895,2296,2326,2024-11-03 21:42:07.201
2992,2110,1921,2024-11-03 21:42:07.203
2251,1860,2029,2024-11-03 21:42:07.204
2258,1788,1903,2024-11-03 21:42:07.204
2380,2517,2114,2024-11-03 21:42:07.205
2498,1977,2426,2024-11-03 21:42:07.206
2221,1759,1968,2024-11-03 21:42:07.378
2617,1785,2191,2024-11-03 21:42:07.380
2735,2074,2693,2024-11-03 21:42:07.382
2470,1883,2181,2024-11-03 21:42:07.383
2243,1789,2063,2024-11-03 21:42:07.385
2348,1806,2287,2024-11-03 21:42:07.386
2753,1845,2457,2024-11-03 21:42:07.388
2540,2152,2309,2024-11-03 21:42:07.388
2096,1887,2038,2024-11-03 21:42:07.390
2214,1899,1903,2024-11-03 21:42:07.391
2691,1866,2446,2024-11-03 21:42:07.392
2560,2520,2738,2024-11-03 21:42:07.557
2320,1725,1968,2024-11-03 21:42:07.559
2368,2141,2061,2024-11-03 21:42:07.560
2796,2465,2704,2024-11-03 21:42:07.561
2648,2351,2645,2024-11-03 21:42:07.563
2130,1938,1808,2024-11-03 21:42:07.564
2146,1764,1915,2024-11-03 21:42:07.565
2365,1935,2473,2024-11-03 21:42:07.566
2632,2244,1677,2024-11-03 21:42:07.567
2021,1829,1937,2024-11-03 21:42:07.567
2321,1847,1896,2024-11-03 21:42:07.679
2503,1878,2067,2024-11-03 21:42:07.681
2872,2017,1805,2024-11-03 21:42:07.737
2064,1774,1705,2024-11-03 21:42:07.738
2281,2008,1994,2024-11-03 21:42:07.739
2412,1998,2420,2024-11-03 21:42:07.741
2777,1913,2385,2024-11-03 21:42:07.742
2212,1698,1720,2024-11-03 21:42:07.742
2285,1807,1842,2024-11-03 21:42:07.743
2609,2332,2210,2024-11-03 21:42:07.799
2560,1816,2393,2024-11-03 21:42:07.860
2242,1902,1810,2024-11-03 21:42:07.863
2225,1907,2030,2024-11-03 21:42:07.866
2666,2117,2764,2024-11-03 21:42:07.867
2564,1998,1877,2024-11-03 21:42:07.918
2145,1807,1798,2024-11-03 21:42:07.921
2368,2010,1821,2024-11-03 21:42:07.922
2641,2175,2411,2024-11-03 21:42:07.923
2656,2366,2181,2024-11-03 21:42:07.925
2341,2016,2064,2024-11-03 21:42:07.927
2244,1968,2086,2024-11-03 21:42:08.038
2455,2014,2718,2024-11-03 21:42:08.040
2735,1836,2676,2024-11-03 21:42:08.042
2256,2007,1710,2024-11-03 21:42:08.044
2226,1823,2000,2024-11-03 21:42:08.045
2703,2411,2410,2024-11-03 21:42:08.046
2683,2079,2365,2024-11-03 21:42:08.047
2528,2011,1891,2024-11-03 21:42:08.097
2258,1778,1899,2024-11-03 21:42:08.098
2716,1916,2369,2024-11-03 21:42:08.158
2571,1946,2121,2024-11-03 21:42:08.160
2380,2058,2084,2024-11-03 21:42:08.279
2224,1750,1972,2024-11-03 21:42:08.283
2453,2048,2169,2024-11-03 21:42:08.285
2410,2145,2483,2024-11-03 21:42:08.286
2484,1977,2159,2024-11-03 21:42:08.287
2026,1680,1825,2024-11-03 21:42:08.289
2530,1972,2029,2024-11-03 21:42:08.290
2434,2160,2528,2024-11-03 21:42:08.292
2677,2096,2236,2024-11-03 21:42:08.293
2134,1679,1773,2024-11-03 21:42:08.294
2391,1935,2011,2024-11-03 21:42:08.398
2600,2288,2758,2024-11-03 21:42:08.399
2623,1971,2080,2024-11-03 21:42:08.400
2131,1796,2000,2024-11-03 21:42:08.402
2469,2150,2158,2024-11-03 21:42:08.404
2538,2478,2521,2024-11-03 21:42:08.405
2535,2073,2211,2024-11-03 21:42:08.406
2223,1872,1921,2024-11-03 21:42:08.407
2412,1829,2043,2024-11-03 21:42:08.458
2644,2318,2511,2024-11-03 21:42:08.461
2721,2026,2411,2024-11-03 21:42:08.591
2191,1844,1875,2024-11-03 21:42:08.594
2356,1854,2279,2024-11-03 21:42:08.598
2644,2158,2577,2024-11-03 21:42:08.599
2811,1947,2181,2024-11-03 21:42:08.600
2191,1663,1838,2024-11-03 21:42:08.601
2346,1914,1978,2024-11-03 21:42:08.603
2541,2032,2560,2024-11-03 21:42:08.604
2826,2123,2202,2024-11-03 21:42:08.605
2175,1761,1841,2024-11-03 21:42:08.608
2378,1888,2081,2024-11-03 21:42:08.699
2538,2304,2246,2024-11-03 21:42:08.757
2171,2176,2152,2024-11-03 21:42:08.759
2163,1727,1972,2024-11-03 21:42:08.760
2362,1970,1956,2024-11-03 21:42:08.761
2604,2302,2386,2024-11-03 21:42:08.762
2651,1982,2323,2024-11-03 21:42:08.764
2039,1685,1937,2024-11-03 21:42:08.765
2297,1830,2084,2024-11-03 21:42:08.766
2496,2213,2652,2024-11-03 21:42:08.766
2624,1968,2211,2024-11-03 21:42:08.767
2069,1888,1885,2024-11-03 21:42:08.880
2473,2021,2059,2024-11-03 21:42:08.881
2440,2001,2471,2024-11-03 21:42:08.883
2571,2276,2174,2024-11-03 21:42:09.064
2112,1716,1899,2024-11-03 21:42:09.067
2279,1958,2053,2024-11-03 21:42:09.069
2540,1851,2478,2024-11-03 21:42:09.071
2530,2177,2175,2024-11-03 21:42:09.073
2184,1837,2000,2024-11-03 21:42:09.074
2317,1766,1980,2024-11-03 21:42:09.076
2592,2367,2105,2024-11-03 21:42:09.079
2569,2012,1958,2024-11-03 21:42:09.080
2314,1559,1944,2024-11-03 21:42:09.082
2426,1979,1934,2024-11-03 21:42:09.082
2782,2115,2492,2024-11-03 21:42:09.084
2520,1993,2152,2024-11-03 21:42:09.085
2037,1803,1906,2024-11-03 21:42:09.086
2224,1993,1985,2024-11-03 21:42:09.118
2520,2163,2447,2024-11-03 21:42:09.128
2674,2037,2639,2024-11-03 21:42:09.130
2283,1853,1841,2024-11-03 21:42:09.298
2688,1999,1874,2024-11-03 21:42:09.300
2620,2354,2564,2024-11-03 21:42:09.301
2601,2436,2167,2024-11-03 21:42:09.303
2193,1948,1894,2024-11-03 21:42:09.304
2139,1922,1904,2024-11-03 21:42:09.306
2705,2447,2512,2024-11-03 21:42:09.308
2633,2283,2705,2024-11-03 21:42:09.312
2202,1744,1982,2024-11-03 21:42:09.313
2352,1853,1914,2024-11-03 21:42:09.315
2561,2167,2182,2024-11-03 21:42:09.417
2764,1907,2377,2024-11-03 21:42:09.419
2161,1779,1924,2024-11-03 21:42:09.421
2441,1807,2077,2024-11-03 21:42:09.422
2589,2229,2415,2024-11-03 21:42:09.423
2464,2230,2389,2024-11-03 21:42:09.424
2175,1765,1981,2024-11-03 21:42:09.425
2283,1843,1947,2024-11-03 21:42:09.428
2602,2310,2616,2024-11-03 21:42:09.429
2538,2034,2495,2024-11-03 21:42:09.430
2353,1840,1985,2024-11-03 21:42:09.478
2031,1895,1971,2024-11-03 21:42:09.598
2639,1851,2407,2024-11-03 21:42:09.600
2566,1991,2608,2024-11-03 21:42:09.600
2446,1963,1854,2024-11-03 21:42:09.602
2208,1759,1914,2024-11-03 21:42:09.657
2466,2050,2292,2024-11-03 21:42:09.660
2582,2200,2407,2024-11-03 21:42:09.661
2439,2118,1979,2024-11-03 21:42:09.662
2175,1701,1879,2024-11-03 21:42:09.663
2311,1890,2059,2024-11-03 21:42:09.664
2616,2296,2375,2024-11-03 21:42:09.778
2122,1667,2065,2024-11-03 21:42:09.780
2167,1768,1939,2024-11-03 21:42:09.781
2518,2286,2486,2024-11-03 21:42:09.783
2467,2057,2657,2024-11-03 21:42:09.784
2358,1936,2090,2024-11-03 21:42:09.785
2159,1755,1887,2024-11-03 21:42:09.786
2360,2057,1914,2024-11-03 21:42:09.787
2580,2159,2390,2024-11-03 21:42:09.788
2670,1878,2075,2024-11-03 21:42:09.788
2038,1909,1870,2024-11-03 21:42:09.903
2440,2044,2319,2024-11-03 21:42:09.915
2515,2057,2568,2024-11-03 21:42:09.985
2479,2110,2060,2024-11-03 21:42:09.986
2234,1879,1979,2024-11-03 21:42:09.994
2709,1996,2078,2024-11-03 21:42:09.995
2640,2235,2521,2024-11-03 21:42:10.004
2164,1943,2091,2024-11-03 21:42:10.005
2175,1756,1891,2024-11-03 21:42:10.007
2271,1993,2144,2024-11-03 21:42:10.008
2560,2184,2470,2024-11-03 21:42:10.082
2417,1878,2223,2024-11-03 21:42:10.083
2176,1840,1815,2024-11-03 21:42:10.084
2397,2201,2305,2024-11-03 21:42:10.084
2611,2125,2432,2024-11-03 21:42:10.085
2429,2030,2369,2024-11-03 21:42:10.170
2164,1774,1847,2024-11-03 21:42:10.179
2504,2193,2105,2024-11-03 21:42:10.180
2462,2312,2654,2024-11-03 21:42:10.182
2817,2149,2220,2024-11-03 21:42:10.183
2170,1697,1881,2024-11-03 21:42:10.184
2305,1978,2048,2024-11-03 21:42:10.257
2448,2010,2526,2024-11-03 21:42:10.260
2454,2218,2135,2024-11-03 21:42:10.261
2156,1779,1766,2024-11-03 21:42:10.262
2328,2003,2055,2024-11-03 21:42:10.264
2541,2300,2441,2024-11-03 21:42:10.265
3004,2015,2378,2024-11-03 21:42:10.317
2139,1769,1934,2024-11-03 21:42:10.318
2365,1806,2043,2024-11-03 21:42:10.321
2560,1946,2466,2024-11-03 21:42:10.323
2607,2117,2640,2024-11-03 21:42:10.438
2128,1869,2000,2024-11-03 21:42:10.439
2310,2125,2043,2024-11-03 21:42:10.441
2560,2188,2319,2024-11-03 21:42:10.443
2677,2080,2155,2024-11-03 21:42:10.446
2111,1756,1901,2024-11-03 21:42:10.447
2307,1931,2107,2024-11-03 21:42:10.448
2560,2480,2538,2024-11-03 21:42:10.449
2512,2283,2299,2024-11-03 21:42:10.450
2087,1733,1936,2024-11-03 21:42:10.497
2182,1813,1911,2024-11-03 21:42:10.619
2525,2414,2576,2024-11-03 21:42:10.624
2449,2113,2088,2024-11-03 21:42:10.627
2013,1844,1872,2024-11-03 21:42:10.631
2300,2041,1989,2024-11-03 21:42:10.632
2524,2105,2441,2024-11-03 21:42:10.634
2598,2019,2417,2024-11-03 21:42:10.635
2107,1669,1859,2024-11-03 21:42:10.679
2317,1909,2001,2024-11-03 21:42:10.682
2599,2119,2351,2024-11-03 21:42:10.683
2652,2200,2600,2024-11-03 21:42:10.797
2150,1600,1889,2024-11-03 21:42:10.799
2514,1938,2017,2024-11-03 21:42:10.800
2579,2152,2576,2024-11-03 21:42:10.801
2560,1915,2623,2024-11-03 21:42:10.803
2187,1514,1971,2024-11-03 21:42:10.803
2260,1797,2096,2024-11-03 21:42:10.804
2447,1972,2611,2024-11-03 21:42:10.806
2612,2407,2553,2024-11-03 21:42:10.806
2231,1840,2000,2024-11-03 21:42:10.807
2113,1821,2074,2024-11-03 21:42:10.808
2575,2163,2316,2024-11-03 21:42:10.918
2692,2379,2432,2024-11-03 21:42:10.981
2096,1817,1807,2024-11-03 21:42:10.983
2352,1799,2033,2024-11-03 21:42:10.984
2430,2382,2502,2024-11-03 21:42:10.986
2584,2240,2299,2024-11-03 21:42:10.986
2393,1943,2102,2024-11-03 21:42:10.988
2241,1699,1991,2024-11-03 21:42:11.038
2773,2096,2233,2024-11-03 21:42:11.039
2517,2149,2575,2024-11-03 21:42:11.044
2500,1772,2105,2024-11-03 21:42:11.101
2278,1724,1968,2024-11-03 21:42:11.108
2734,2161,2505,2024-11-03 21:42:11.147
2560,2027,2528,2024-11-03 21:42:11.206
2346,1812,2095,2024-11-03 21:42:11.206
2224,1870,1945,2024-11-03 21:42:11.206
2658,2029,2607,2024-11-03 21:42:11.206
2562,1963,2417,2024-11-03 21:42:11.206
2371,1873,2011,2024-11-03 21:42:11.206
2259,1895,1962,2024-11-03 21:42:11.206
2429,2027,2334,2024-11-03 21:42:11.279
2604,2311,2222,2024-11-03 21:42:11.281
2239,1776,1840,2024-11-03 21:42:11.282
2118,1718,1904,2024-11-03 21:42:11.285
2564,2438,2506,2024-11-03 21:42:11.291
2512,2224,2609,2024-11-03 21:42:11.297
2418,2295,2151,2024-11-03 21:42:11.340
2127,1872,1919,2024-11-03 21:42:11.345
2307,2143,2078,2024-11-03 21:42:11.346
2447,2179,2389,2024-11-03 21:42:11.347
2356,2000,2171,2024-11-03 21:42:11.458
2155,1748,1884,2024-11-03 21:42:11.460
2351,2373,2592,2024-11-03 21:42:11.462
2531,2087,2384,2024-11-03 21:42:11.463
2314,1951,2065,2024-11-03 21:42:11.464
2150,1856,1904,2024-11-03 21:42:11.465
2314,1972,2149,2024-11-03 21:42:11.466
2690,2324,2187,2024-11-03 21:42:11.466
2416,2038,2042,2024-11-03 21:42:11.521
2247,1587,1905,2024-11-03 21:42:11.522
2320,2027,1995,2024-11-03 21:42:11.524
2585,2342,2299,2024-11-03 21:42:11.638
2561,2080,2139,2024-11-03 21:42:11.640
2190,1868,1791,2024-11-03 21:42:11.641
2454,1897,2075,2024-11-03 21:42:11.642
2623,2158,2430,2024-11-03 21:42:11.644
2537,1992,2123,2024-11-03 21:42:11.645
2213,1776,1844,2024-11-03 21:42:11.647
2431,1744,2095,2024-11-03 21:42:11.648
2516,2248,2466,2024-11-03 21:42:11.649
2772,2101,1990,2024-11-03 21:42:11.650
1975,1734,1915,2024-11-03 21:42:11.819
2485,2046,2408,2024-11-03 21:42:11.822
2633,2161,2324,2024-11-03 21:42:11.824
2458,1940,1891,2024-11-03 21:42:11.824
2128,1722,1970,2024-11-03 21:42:11.827
2560,1858,2238,2024-11-03 21:42:11.828
2576,2193,2572,2024-11-03 21:42:11.829
2860,1981,2203,2024-11-03 21:42:11.831
2240,1757,1925,2024-11-03 21:42:11.832
2203,1961,2003,2024-11-03 21:42:11.834
2528,2191,2067,2024-11-03 21:42:11.998
2441,1846,2125,2024-11-03 21:42:12.001
2128,1643,1845,2024-11-03 21:42:12.002
2410,2025,2016,2024-11-03 21:42:12.003
2560,2275,2405,2024-11-03 21:42:12.005
2706,1927,2154,2024-11-03 21:42:12.006
2099,1701,1862,2024-11-03 21:42:12.007
2402,2007,2059,2024-11-03 21:42:12.008
2511,2343,2504,2024-11-03 21:42:12.009
2672,2102,2259,2024-11-03 21:42:12.010
2111,1773,1901,2024-11-03 21:42:12.117
2315,2044,1989,2024-11-03 21:42:12.119
2609,2084,2576,2024-11-03 21:42:12.121
2486,1943,2031,2024-11-03 21:42:12.177
2299,1653,1959,2024-11-03 21:42:12.179
2434,1905,2100,2024-11-03 21:42:12.180
2329,2111,2566,2024-11-03 21:42:12.182
2696,2126,2313,2024-11-03 21:42:12.183
2229,1743,1902,2024-11-03 21:42:12.185
2247,1842,2006,2024-11-03 21:42:12.186
2560,2094,2431,2024-11-03 21:42:12.187
2542,2106,2645,2024-11-03 21:42:12.298
2178,1629,1840,2024-11-03 21:42:12.300
2275,1950,2123,2024-11-03 21:42:12.301
2616,2048,2516,2024-11-03 21:42:12.302
2682,2310,2338,2024-11-03 21:42:12.361
2180,1697,1942,2024-11-03 21:42:12.363
2253,1855,2002,2024-11-03 21:42:12.366
2472,2155,2484,2024-11-03 21:42:12.367
2581,2367,2048,2024-11-03 21:42:12.368
2283,1894,2080,2024-11-03 21:42:12.371
2285,1840,2032,2024-11-03 21:42:12.477
2451,2109,2423,2024-11-03 21:42:12.478
2721,2186,2127,2024-11-03 21:42:12.479
2112,1723,1879,2024-11-03 21:42:12.481
2254,1907,2009,2024-11-03 21:42:12.482
2446,2260,2386,2024-11-03 21:42:12.483
2582,2225,2546,2024-11-03 21:42:12.484
